,name,price,rating,wifi,GPS,NFC,voice_calling,Bluetooth,Bluetooth_calling,display_size_inches,Touch,ram_gb,memory_inbuilt,water_resistance,dust_proof,scratch_resistance,heart_rate_monitor,Blood_Pressure_monitor,calorie_count,sleep_monitor,step_count,Pedometer,Blood_oxygen,Altimeter,alarm_clock,stopwatch,reminder,timer,battery
334,Maxima Sprint Smartwatch,1399,4.15,False,False,False,False,Bluetooth,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
335,Crossbeats Diva Smartwatch,3299,4.3,False,False,False,False,Bluetooth 5.3,True,1.28,True,,,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,7days Battery
336,Hammer Conquer Smartwatch,1979,4.1,False,False,False,False,Bluetooth 5.2,True,2.02,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
337,Cult Sport Ace X Smartwatch,3299,4.75,False,False,False,False,Bluetooth 5.3,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
338,Urban Titanium Smartwatch,3599,4.7,False,False,False,False,Bluetooth,True,1.43,True,,,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,5days Battery
339,Hammer Luxor Smartwatch,1999,4.65,False,False,False,False,Bluetooth 5.3,True,1.45,True,,,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,
340,Cult Sport Ace X Luxe Smartwatch,3479,4.75,False,False,False,False,Bluetooth 5.3,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
341,Hammer Active 3.0 Smartwatch,1799,4.2,False,False,False,False,Bluetooth 5.1,True,1.39,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
342,Noise ColorFit Cadet Smartwatch,1499,4.55,False,False,False,False,Bluetooth,True,1.78,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
343,Fire Boltt Gladiator Pro Smartwatch,1799,4.55,False,False,False,False,Bluetooth,True,1.78,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
344,Garmin Vivoactive 5 Smartwatch,24999,4.35,True,True,False,False,Bluetooth,True,1.2,True,,4.0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,
345,beatXP Evoke Smartwatch,1299,4.35,False,False,False,False,Bluetooth 5.3,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
346,Apple Watch 2nd Gen 2023 44mm (GPS),29610,4.2,True,True,True,False,Bluetooth 5.3,True,1.73,True,,32.0,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,
347,Fire Boltt Solaris Smartwatch,2199,4.3,False,False,False,False,Bluetooth,True,1.78,True,,,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,
348,Apple Watch SE 2nd Gen 2023 40mm (GPS+Cellular),30899,4.4,True,True,True,True,Bluetooth 5.3,False,1.6,True,,32.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,
349,Apple Watch 2nd Gen 2023 44mm (GPS+Cellular),34110,4.1,True,True,True,True,Bluetooth 5.3,False,1.73,True,,32.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,
350,Fire Boltt Ninja Pro Max Ultra Smartwatch,1499,4.7,False,False,False,False,Bluetooth 5.0,True,2.01,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
351,Huawei Watch GT 4 41mm,14999,4.75,True,False,True,False,Bluetooth 5.1,True,1.32,True,,,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,
352,Fire Boltt Eclipse Luxe Smartwatch,1399,4.4,False,False,False,False,Bluetooth,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
353,Noise NoiseFit Grace Smartwatch,2999,4.6,False,False,False,False,Bluetooth 5.3,True,1.1,True,,,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,4days Battery
354,beatXP Vector Smartwatch,799,4.0,False,False,False,False,Bluetooth 5.3,True,1.3,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
355,Boult Craft Smartwatch,1099,4.4,False,False,False,False,Bluetooth 5.3,True,1.83,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
356,boAt Wave Genesis Smartwatch,1899,4.05,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
357,Samsung Galaxy Watch 6 Classic PXG Edition 40mm,54499,4.2,True,True,True,True,Bluetooth 5.3,False,1.3,True,2.0,16.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,
358,Samsung Galaxy Watch 6 Classic PXG Edition 43mm,56299,4.6,True,True,True,True,Bluetooth 5.3,False,1.5,True,2.0,16.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,
359,pTron Reflect Pro Smartwatch,1264,4.45,False,False,False,False,Bluetooth,True,1.85,True,,,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,
360,boAt Ultima Vogue Smartwatch,2499,4.35,False,False,False,False,Bluetooth,True,1.96,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
361,pTron Reflect Callz Smartwatch,1299,4.2,False,False,False,False,Bluetooth 5.2,True,1.85,True,,,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,
362,boAt Enigma X500 Smartwatch,3200,4.45,False,False,False,False,Bluetooth,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
363,Boston Levin Infinity Smartwatch,1705,4.6,False,False,False,False,Bluetooth 5.3,True,1.85,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
364,boAt Enigma R32 Smartwatch,2400,4.2,False,False,False,False,Bluetooth,True,1.32,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
365,boAt Enigma X600 Smartwatch,3200,4.4,False,False,False,False,Bluetooth,True,1.43,True,,,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,
366,Ambrane Glaze Plus Smartwatch,2199,4.65,False,False,False,False,Bluetooth,True,2.01,True,,,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,
367,Apple Watch Series 9 41mm Stainless Steel (GPS + Cellular),59999,4.1,True,True,True,True,Bluetooth 5.3,False,1.61,True,,64.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,
368,Apple Watch Series 9 45mm Stainless Steel (GPS + Cellular),69999,4.4,True,True,True,True,Bluetooth 5.3,False,1.77,True,,64.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,
369,Apple Watch Series 9 41mm (GPS + Cellular),41999,4.75,True,True,True,True,Bluetooth 5.3,False,1.61,True,,64.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,
370,Apple Watch Series 9 45mm (GPS),35999,4.35,True,True,True,False,Bluetooth 5.3,True,1.77,True,,64.0,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,
